Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
189904,-0.2334
189905,-0.1281
189906,-0.1154
189907,-0.0887
189908,-0.0335
189909,-0.0718
189910,-0.0427
189911,-0.0340
189912,-0.0419
190001,-0.0541
190002,0.0220
190003,-0.0544
190004,-0.0592
190005,-0.0838
190006,-0.0901
190007,-0.0390
190008,-0.0650
190009,-0.0415
190010,-0.0007
190011,-0.0988
190012,-0.0597
190101,-0.0573
190102,-0.0648
190103,-0.1407
190104,-0.1236
190105,-0.1410
190106,-0.1512
190107,-0.1935
190108,-0.1619
190109,-0.2145
190110,-0.2516
190111,-0.2276
190112,-0.2321
190201,-0.2002
190202,-0.2233
190203,-0.2102
190204,-0.1698
190205,-0.2525
190206,-0.3104
190207,-0.2452
190208,-0.2217
190209,-0.2113
190210,-0.2158
190211,-0.1950
190212,-0.2047
190301,-0.2335
190302,-0.2340
190303,-0.2582
190304,-0.3013
190305,-0.3395
190306,-0.3307
190307,-0.3158
190308,-0.4156
190309,-0.3942
190310,-0.3720
190311,-0.3665
190312,-0.3364
190401,-0.4179
190402,-0.4303
190403,-0.4390
190404,-0.4320
190405,-0.4653
190406,-0.4400
190407,-0.4468
190408,-0.4424
190409,-0.4273
190410,-0.3727
190411,-0.3082
190412,-0.2751
190501,-0.3522
190502,-0.3528
190503,-0.2603
190504,-0.3037
190505,-0.2651
190506,-0.2256
190507,-0.1924
190508,-0.2057
190509,-0.2287
190510,-0.2495
190511,-0.1899
190512,-0.1546
190601,-0.1302
190602,-0.1103
190603,-0.1169
190604,-0.1503
190605,-0.3017
190606,-0.2455
190607,-0.2643
190608,-0.2659
190609,-0.2993
190610,-0.2955
190611,-0.2681
190612,-0.2756
190701,-0.2669
190702,-0.2893
190703,-0.1922
190704,-0.2105
190705,-0.2938
190706,-0.2812
190707,-0.3010
190708,-0.3328
190709,-0.3433
190710,-0.3055
190711,-0.3601
190712,-0.3547
190801,-0.4053
190802,-0.3825
190803,-0.4442
190804,-0.4081
190805,-0.4328
190806,-0.4159
190807,-0.4212
190808,-0.4743
190809,-0.4556
190810,-0.4565
190811,-0.4409
190812,-0.4174
190901,-0.4439
190902,-0.4229
190903,-0.4614
190904,-0.4405
190905,-0.4190
190906,-0.4501
190907,-0.4834
190908,-0.4087
190909,-0.4411
190910,-0.4595
190911,-0.4690
190912,-0.4461
191001,-0.3989
191002,-0.3795
191003,-0.4309
191004,-0.4083
191005,-0.3465
191006,-0.3720
191007,-0.4098
191008,-0.3912
191009,-0.3605
191010,-0.4031
191011,-0.4479
191012,-0.4839
191101,-0.4389
191102,-0.5083
191103,-0.5061
191104,-0.5449
191105,-0.5361
191106,-0.4768
191107,-0.4991
191108,-0.4681
191109,-0.4201
191110,-0.3439
191111,-0.2774
191112,-0.1980
191201,-0.2110
191202,-0.1857
191203,-0.1398
191204,-0.1531
191205,-0.2101
191206,-0.2665
191207,-0.2565
191208,-0.3514
191209,-0.3976
191210,-0.3678
191211,-0.3696
191212,-0.3190
191301,-0.3048
191302,-0.2797
191303,-0.3398
191304,-0.3601
191305,-0.3294
191306,-0.3497
191307,-0.3552
191308,-0.3640
191309,-0.3539
191310,-0.2908
191311,-0.2487
191312,-0.2089
191401,-0.1708
191402,-0.2022
191403,-0.1995
191404,-0.2273
191405,-0.2239
191406,-0.2344
191407,-0.2307
191408,-0.1739
191409,-0.1919
191410,-0.1149
191411,-0.0355
191412,-0.0242
191501,-0.0863
191502,-0.0657
191503,-0.0619
191504,-0.0211
191505,-0.0871
191506,-0.0737
191507,-0.0180
191508,-0.0685
191509,-0.0827
191510,-0.0775
191511,-0.0878
191512,-0.1879
191601,-0.2021
191602,-0.1617
191603,-0.1931
191604,-0.1678
191605,-0.2259
191606,-0.3277
191607,-0.3168
191608,-0.2983
191609,-0.2717
191610,-0.2514
191611,-0.3958
191612,-0.3468
191701,-0.3793
191702,-0.3146
191703,-0.2705
191704,-0.2329
191705,-0.2995
191706,-0.2861
191707,-0.1637
191708,-0.1191
191709,-0.0574
191710,-0.1392
191711,-0.2375
191712,-0.2224
191801,-0.1571
191802,-0.2225
191803,-0.1361
191804,-0.1841
191805,-0.1352
191806,-0.0991
191807,-0.1393
191808,-0.1788
191809,-0.1464
191810,-0.1271
191811,-0.0180
191812,-0.0653
191901,-0.0123
191902,0.0394
191903,-0.0652
191904,-0.1028
191905,-0.1191
191906,-0.2024
191907,-0.2460
191908,-0.2675
191909,-0.2250
191910,-0.1873
191911,-0.1928
191912,-0.2438
192001,-0.1799
192002,-0.1510
192003,-0.1008
192004,-0.1726
192005,-0.1675
192006,-0.2121
192007,-0.2828
192008,-0.2618
192009,-0.1556
192010,-0.1664
192011,-0.1505
192012,-0.1815
192101,-0.2096
192102,-0.1834
192103,-0.2539
192104,-0.2784
192105,-0.2941
192106,-0.2373
192107,-0.1749
192108,-0.1608
192109,-0.1216
192110,-0.0538
192111,-0.1063
192112,-0.1284
192201,-0.1914
192202,-0.1666
192203,-0.0994
192204,-0.1741
192205,-0.3047
192206,-0.3130
192207,-0.3008
192208,-0.2921
192209,-0.2757
192210,-0.2363
192211,-0.2291
192212,-0.2036
192301,-0.2610
192302,-0.2851
192303,-0.2564
192304,-0.2115
192305,-0.2045
192306,-0.2257
192307,-0.2694
192308,-0.3029
192309,-0.2776
192310,-0.2369
192311,-0.0809
192312,-0.0532
192401,-0.1209
192402,-0.1572
192403,-0.1208
192404,-0.1565
192405,-0.1457
192406,-0.2439
192407,-0.2706
192408,-0.3240
192409,-0.3425
192410,-0.3349
192411,-0.4243
192412,-0.3896
192501,-0.3037
192502,-0.2664
192503,-0.2298
192504,-0.2439
192505,-0.1966
192506,-0.1878
192507,-0.1632
192508,-0.1725
192509,-0.1205
192510,-0.0909
192511,-0.0173
192512,-0.0315
192601,-0.0117
192602,-0.0763
192603,-0.0560
192604,-0.0603
192605,-0.0659
192606,-0.1067
192607,-0.1164
192608,-0.0863
192609,-0.1041
192610,-0.1294
192611,-0.1248
192612,-0.1490
192701,-0.1131
192702,-0.1699
192703,-0.2053
192704,-0.1827
192705,-0.1986
192706,-0.2197
192707,-0.1559
192708,-0.1121
192709,-0.1162
192710,-0.1189
192711,-0.0817
192712,-0.1460
192801,-0.1292
192802,-0.1789
192803,-0.1818
192804,-0.1998
192805,-0.2161
192806,-0.2603
192807,-0.1982
192808,-0.2249
192809,-0.2178
192810,-0.1936
192811,-0.1992
192812,-0.2509
192901,-0.2890
192902,-0.2859
192903,-0.3147
192904,-0.2980
192905,-0.2991
192906,-0.2837
192907,-0.2546
192908,-0.2432
192909,-0.2165
192910,-0.1925
192911,-0.1704
192912,-0.2117
193001,-0.2223
193002,-0.2036
193003,-0.1908
193004,-0.1720
193005,-0.1752
193006,-0.1251
193007,-0.1187
193008,-0.1190
193009,-0.0336
193010,0.0303
193011,0.0538
193012,-0.0043
193101,-0.0334
193102,-0.0437
193103,-0.0116
193104,-0.1057
193105,-0.1025
193106,-0.0648
193107,-0.0942
193108,-0.0660
193109,-0.0913
193110,-0.1386
193111,-0.1528
193112,-0.1688
193201,-0.1248
193202,-0.0853
193203,-0.0950
193204,-0.1646
193205,-0.1835
193206,-0.1853
193207,-0.1974
193208,-0.2099
193209,-0.1759
193210,-0.1920
193211,-0.1707
193212,-0.1573
193301,-0.1739
193302,-0.1573
193303,-0.1865
193304,-0.1511
193305,-0.1985
193306,-0.2114
193307,-0.2195
193308,-0.2260
193309,-0.2338
193310,-0.2468
193311,-0.2883
193312,-0.2785
193401,-0.2841
193402,-0.2726
193403,-0.2363
193404,-0.1768
193405,-0.1760
193406,-0.0251
193407,-0.0993
193408,-0.0642
193409,-0.0466
193410,-0.1015
193411,-0.0985
193412,-0.1006
193501,-0.1759
193502,-0.1628
193503,-0.2143
193504,-0.1406
193505,-0.1500
193506,-0.1661
193507,-0.1700
193508,-0.1330
193509,-0.1295
193510,-0.0779
193511,-0.0771
193512,-0.0904
193601,-0.1414
193602,-0.1150
193603,-0.1562
193604,-0.1289
193605,-0.1519
193606,-0.1476
193607,-0.1386
193608,-0.0948
193609,-0.0586
193610,-0.0601
193611,-0.0893
193612,-0.0978
193701,-0.0606
193702,-0.0259
193703,-0.0497
193704,-0.0546
193705,-0.0634
193706,-0.0529
193707,0.0041
193708,0.0560
193709,0.0801
193710,0.0279
193711,0.0051
193712,-0.0212
193801,-0.0836
193802,-0.0934
193803,-0.1070
193804,-0.1199
193805,-0.0944
193806,-0.0977
193807,-0.1107
193808,-0.0812
193809,-0.0949
193810,-0.0505
193811,-0.1384
193812,-0.2112
193901,-0.2797
193902,-0.1790
193903,-0.1174
193904,-0.1105
193905,-0.1178
193906,-0.0582
193907,-0.0270
193908,0.0154
193909,0.0471
193910,0.0475
193911,0.0369
193912,0.0711
194001,0.0604
194002,0.0467
194003,0.0465
194004,0.1095
194005,0.1348
194006,0.0917
194007,0.1209
194008,0.1323
194009,0.1200
194010,0.1490
194011,0.1873
194012,0.2220
194101,0.2714
194102,0.2279
194103,0.1845
194104,0.2369
194105,0.2827
194106,0.1583
194107,0.1853
194108,0.1662
194109,0.1913
194110,0.3122
194111,0.3572
194112,0.3538
194201,0.2827
194202,0.2979
194203,0.2548
194204,0.2803
194205,0.2543
194206,0.2256
194207,0.1480
194208,0.1032
194209,0.1130
194210,0.1226
194211,0.1026
194212,0.1613
194301,0.1635
194302,0.1352
194303,0.1763
194304,0.1652
194305,0.1132
194306,0.1775
194307,0.2396
194308,0.1926
194309,0.1967
194310,0.2627
194311,0.2833
194312,0.2290
194401,0.2713
194402,0.2819
194403,0.3718
194404,0.4023
194405,0.3432
194406,0.4108
194407,0.3806
194408,0.3592
194409,0.3594
194410,0.3026
194411,0.2552
194412,0.3464
194501,0.3403
194502,0.3735
194503,0.2556
194504,0.3155
194505,0.3370
194506,0.2409
194507,0.3057
194508,0.3452
194509,0.3246
194510,0.2700
194511,0.2907
194512,0.2309
194601,0.1790
194602,0.0255
194603,0.0596
194604,0.0839
194605,-0.0112
194606,-0.0316
194607,-0.0370
194608,-0.0805
194609,-0.0025
194610,0.0045
194611,-0.0608
194612,-0.0907
194701,-0.1232
194702,-0.0743
194703,-0.1442
194704,-0.0670
194705,-0.0367
194706,0.0142
194707,-0.0104
194708,-0.0669
194709,-0.1978
194710,-0.1487
194711,-0.1155
194712,-0.1435
194801,-0.1504
194802,-0.0936
194803,-0.0966
194804,-0.1007
194805,0.0994
194806,-0.0589
194807,-0.0999
194808,-0.0464
194809,-0.1616
194810,-0.1449
194811,-0.1240
194812,-0.0731
194901,-0.0191
194902,-0.0241
194903,-0.0354
194904,-0.0133
194905,-0.0560
194906,-0.1182
194907,-0.0502
194908,-0.0399
194909,-0.0364
194910,-0.0667
194911,-0.1253
194912,-0.1114
195001,-0.0835
195002,-0.1248
195003,-0.0914
195004,-0.1176
195005,-0.0700
195006,-0.0284
195007,-0.0225
195008,-0.0366
195009,-0.0727
195010,-0.1181
195011,-0.1495
195012,-0.1801
195101,-0.1643
195102,-0.1680
195103,-0.1063
195104,-0.0770
195105,0.0087
195106,0.0838
195107,0.1306
195108,0.1245
195109,0.0849
195110,0.0923
195111,0.0447
195112,0.0734
195201,0.0959
195202,0.1271
195203,0.0852
195204,0.0901
195205,0.0454
195206,0.0557
195207,0.0405
195208,0.0877
195209,0.0598
195210,0.0647
195211,0.0349
195212,0.0545
195301,0.0507
195302,0.0722
195303,0.0497
195304,0.1423
195305,0.1284
195306,0.1180
195307,0.0864
195308,0.0732
195309,0.0536
195310,0.0402
195311,0.0178
195312,-0.0245
195401,-0.0507
195402,-0.0074
195403,-0.0185
195404,-0.1189
195405,-0.1143
195406,-0.1206
195407,-0.1255
195408,-0.1267
195409,-0.0922
195410,-0.1243
195411,-0.1055
195412,-0.1558
195501,-0.1160
195502,-0.1445
195503,-0.1304
195504,-0.1556
195505,-0.1449
195506,-0.1050
195507,-0.0445
195508,-0.0793
195509,-0.1151
195510,-0.1965
195511,-0.2067
195512,-0.1960
195601,-0.0767
195602,-0.1300
195603,-0.1093
195604,-0.1775
195605,-0.1491
195606,-0.1134
195607,-0.0836
195608,-0.0996
195609,-0.1603
195610,-0.1064
195611,-0.0616
195612,-0.0608
195701,-0.0432
195702,0.0070
195703,0.0495
195704,0.0912
195705,0.1793
195706,0.1745
195707,0.1723
195708,0.1769
195709,0.0793
195710,0.0473
195711,0.0964
195712,0.0742
195801,0.1370
195802,0.1516
195803,0.1337
195804,0.1129
195805,0.0825
195806,0.1318
195807,0.0893
195808,0.1002
195809,0.1096
195810,0.0870
195811,0.0524
195812,0.1021
195901,0.0974
195902,0.0830
195903,0.0809
195904,0.0797
195905,0.0798
195906,0.0383
195907,0.0581
195908,0.0680
195909,0.0965
195910,0.0679
195911,0.0270
195912,-0.0103
196001,0.0093
196002,0.0158
196003,0.0116
196004,-0.0274
196005,0.0639
196006,0.0588
196007,0.0940
196008,0.0765
196009,0.0787
196010,0.0620
196011,0.0387
196012,0.0833
196101,0.0578
196102,0.1029
196103,0.0805
196104,0.1277
196105,0.1421
196106,0.1237
196107,0.0484
196108,0.0428
196109,0.0014
196110,0.0485
196111,0.0166
196112,0.0370
196201,0.0418
196202,0.0464
196203,0.0607
196204,0.0420
196205,0.0737
196206,0.1234
196207,0.1306
196208,0.0922
196209,0.0904
196210,0.0564
196211,0.0255
196212,-0.0017
196301,-0.0087
196302,0.0168
196303,-0.0138
196304,0.0740
196305,0.0844
196306,0.0955
196307,0.1133
196308,0.1384
196309,0.1056
196310,0.0696
196311,0.1039
196312,0.0792
196401,0.0175
196402,-0.0167
196403,-0.0695
