BLS_2_Countries_(SRES)_ABBREVNAME,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
Canada,CA,CAN,23140657.14,,8726828.57,6.53,4.53,-0.03,1511756.17,0.00,-2908.72,3.19,2.19,2.69,737541.51,0.00,234842.72,1.45,0.45,4.16,334752.05,0.00,363268.96,2.52,0.52,0.10,582133.16,0.00,8882.86,8.45,6.45,2.18,1955514.29,0.00,190169.93,7.62,6.62,3.51,1763207.92,0.00,306536.90,5.81,3.81,-0.19,1344990.47,0.00,-16396.61,5.58,3.58,1.97,1292007.00,0.00,172131.78,-0.67,-1.67,4.68,-154028.77,0.00,408340.55,1.13,-0.87,-0.05,262378.86,0.00,-4799.70,7.15,5.15,-0.06,1654934.09,0.00,-4989.94,10.49,9.49,1.65,2426553.60,0.00,144281.81,2.81,0.81,-1.46,649418.28,0.00,-127708.75,4.44,3.44,-0.29,1028338.41,0.00,-25104.27,3.53,0.53,-0.78,816296.03,0.00,-67874.21,1.62,-0.38,-0.65,374093.29,0.00,-56988.80,4.50,3.50,-0.48,1042476.83,0.00,-41671.96,5.28,4.28,2.66,1222169.54,0.00,232143.67,2.98,0.98,-0.71,690449.64,0.00,-62232.23,1.56,0.56,-0.26,362011.07,0.00,-22394.71,2.39,1.39,1.92,554098.97,0.00,167679.29,Canada,79.80,0.00,20.20,1.74,1.03,0.67,0.68,2.39,2.26,1.53,1.62,0.14,0.30,1.90,2.90,0.65,1.16,0.89,0.39,1.17,1.58,0.75,0.40,0.77
Central African Republic,CT,CAF,,30228.57,112242.86,0.14,-1.86,-4.18,0.00,-561.87,-4693.85,-1.98,-2.98,-10.07,0.00,-901.90,-11303.01,-14.52,-15.52,-20.75,0.00,-4691.59,-23291.89,0.20,-1.80,-4.50,0.00,-543.80,-5045.58,-0.26,-2.26,-8.86,0.00,-682.78,-9939.18,-5.76,-6.76,-15.58,0.00,-2044.83,-17490.34,0.42,-1.58,-4.05,0.00,-477.62,-4541.80,0.97,-1.03,-7.47,0.00,-310.16,-8385.76,-4.17,-5.17,-14.01,0.00,-1563.82,-15729.70,0.84,-1.16,-3.53,0.00,-351.48,-3966.16,1.85,-0.15,-7.03,0.00,-46.22,-7893.82,-4.31,-5.31,-14.69,0.00,-1604.14,-16484.85,-0.40,-2.40,-4.60,0.00,-725.52,-5166.27,-0.60,-1.60,-7.26,0.00,-484.27,-8151.14,-2.25,-5.25,-9.99,0.00,-1586.98,-11208.86,-1.33,-3.33,-6.19,0.00,-1005.38,-6948.94,-2.58,-3.58,-9.16,0.00,-1080.90,-10286.47,-4.49,-5.49,-12.40,0.00,-1658.72,-13916.34,-0.76,-2.76,-5.25,0.00,-833.12,-5894.48,-1.59,-2.59,-8.22,0.00,-782.85,-9226.32,-6.42,-7.42,-14.74,0.00,-2243.73,-16548.47,Central African Republic,0.00,16.52,83.48,-1.27,-2.97,-6.63,-1.35,-2.59,-4.71,-1.21,-2.14,-4.18,-1.05,-1.97,-4.38,-1.41,-2.11,-3.07,-1.91,-2.75,-3.75,-1.61,-2.43,-4.51
Chad,CD,TCD,2549.43,116007.43,123472.71,0.14,-1.86,-4.18,3.60,-2156.29,-5163.46,-1.98,-2.98,-10.07,-50.57,-3461.19,-12433.88,-14.52,-15.52,-20.75,-370.19,-18004.78,-25622.24,0.20,-1.80,-4.50,5.12,-2086.95,-5550.39,-0.26,-2.26,-8.86,-6.60,-2620.30,-10933.59,-5.76,-6.76,-15.58,-146.96,-7847.38,-19240.25,0.42,-1.58,-4.05,10.71,-1832.97,-4996.21,0.97,-1.03,-7.47,24.83,-1190.31,-9224.75,-4.17,-5.17,-14.01,-106.40,-6001.43,-17303.45,0.84,-1.16,-3.53,21.35,-1348.85,-4362.97,1.85,-0.15,-7.03,47.09,-177.38,-8683.59,-4.31,-5.31,-14.69,-109.80,-6156.18,-18134.15,-0.40,-2.40,-4.60,-10.20,-2784.31,-5683.15,-0.60,-1.60,-7.26,-15.35,-1858.48,-8966.66,-2.25,-5.25,-9.99,-57.36,-6090.30,-12330.30,-1.33,-3.33,-6.19,-33.80,-3858.32,-7644.18,-2.58,-3.58,-9.16,-65.67,-4148.14,-11315.63,-4.49,-5.49,-12.40,-114.40,-6365.64,-15308.67,-0.76,-2.76,-5.25,-19.28,-3197.25,-6484.22,-1.59,-2.59,-8.22,-40.53,-3004.34,-10149.41,-6.42,-7.42,-14.74,-163.74,-8610.71,-18204.14,Chad,0.47,58.77,40.76,-0.93,-1.96,-5.88,-0.96,-1.65,-3.45,-0.86,-1.21,-2.92,-0.71,-0.98,-3.04,-1.10,-1.30,-2.39,-1.49,-1.95,-2.77,-1.25,-1.63,-3.47
Chile,CI,CHL,1723945.43,136787.00,1107817.57,-2.60,-4.60,-0.72,-44821.74,-6292.14,-7974.47,-0.22,-1.22,-2.96,-3770.95,-1667.08,-32831.02,-1.52,-2.52,-6.96,-26121.15,-3440.46,-77147.63,-1.24,-3.24,-0.51,-21357.67,-4430.37,-5679.72,-1.72,-3.72,-3.26,-29678.60,-5090.60,-36112.89,2.02,1.02,-5.39,34751.19,1389.47,-59673.02,-4.49,-6.49,-2.22,-77465.67,-8882.28,-24647.25,-1.72,-3.72,-3.67,-29656.54,-5088.85,-40675.05,2.24,1.24,-5.63,38655.75,1699.28,-62326.92,-1.83,-3.83,-1.07,-31530.62,-5237.55,-11901.43,-3.12,-5.12,-3.01,-53761.37,-7001.45,-33381.27,-0.92,-0.59,-6.71,-15849.76,-801.65,-74312.87,-6.12,-8.12,-3.71,-105557.98,-11111.27,-41132.22,-5.08,-6.08,-5.28,-87574.58,-8316.50,-58540.22,-4.66,-7.66,-6.79,-80319.11,-10476.56,-75214.03,-2.65,-4.65,-3.04,-45689.36,-6360.98,-33652.89,-2.57,-3.57,-4.03,-44295.67,-4882.52,-44686.17,-2.64,-3.64,-4.04,-45591.83,-4985.37,-44767.29,-2.93,-4.93,-1.95,-50510.65,-6743.52,-21640.46,-6.33,-7.33,-4.26,-109071.47,-10022.18,-47147.59,-3.49,-4.49,-4.29,-60159.99,-6141.28,-47517.33,Chile,53.06,6.66,40.28,-0.66,-0.46,-1.26,-0.36,-0.82,-0.34,-1.24,-0.88,-0.33,-0.55,-1.07,-1.08,-1.76,-1.74,-1.91,-0.98,-1.08,-1.09,-0.89,-1.85,-1.29
China,CH,CHN,94879370.29,179210744.43,124781476.71,-0.22,-0.92,-3.30,-212811.53,-1652175.84,-4113463.84,6.10,3.67,-5.97,5784060.89,6573247.18,-7453574.17,-0.87,7.12,-0.16,-822249.20,12763432.79,-197368.15,-1.17,-1.18,-5.05,-1112037.89,-2108985.35,-6303517.68,7.26,3.65,-6.96,6890964.19,6536041.83,-8681254.62,8.31,8.71,-2.85,7888432.28,15603366.90,-3553998.00,3.80,-0.24,-3.54,3609722.35,-423787.21,-4419561.67,7.83,3.00,-5.96,7426575.41,5372490.08,-7431989.76,5.75,8.91,-2.45,5457566.96,15965179.34,-3053953.20,-2.31,-1.31,-5.31,-2193959.29,-2356443.66,-6620815.42,6.10,-0.13,-7.43,5784953.87,-232896.75,-9276384.71,6.60,7.55,-4.11,6257463.12,13524916.41,-5131885.47,3.32,-0.67,-3.35,3152919.15,-1202758.45,-4181366.12,5.26,0.82,-6.62,4987675.88,1476410.45,-8256821.81,5.69,-0.63,-7.81,5394580.69,-1121885.70,-9740944.06,0.75,-1.68,-5.56,710032.69,-3006382.22,-6943720.52,4.23,0.44,-7.46,4013462.71,784334.69,-9307589.55,6.84,3.83,-6.22,6485078.89,6859980.33,-7758740.22,0.08,-1.78,-5.73,77986.29,-3181941.59,-7152399.18,5.00,0.81,-7.41,4741731.95,1460204.60,-9249893.79,7.56,4.29,-5.46,7174654.89,7682989.56,-6809668.94,China,25.39,45.25,29.36,-0.48,0.48,0.99,-0.77,0.48,1.74,-0.06,0.53,1.59,-0.91,-0.23,1.29,-0.15,-0.08,-0.38,-0.73,-0.31,0.55,-0.82,-0.18,0.75
Colombia,CO,COL,39204.00,2520860.86,1434677.00,-2.60,-4.60,-0.72,-1019.28,-115958.37,-10327.32,-0.22,-1.22,-2.96,-85.75,-30722.73,-42517.75,-1.52,-2.52,-6.96,-594.02,-63404.59,-99909.89,-1.24,-3.24,-0.51,-485.69,-81647.74,-7355.51,-1.72,-3.72,-3.26,-674.92,-93815.12,-46767.93,2.02,1.02,-5.39,790.27,25606.76,-77279.43,-4.49,-6.49,-2.22,-1761.64,-163692.36,-31919.38,-1.72,-3.72,-3.67,-674.42,-93782.86,-52676.14,2.24,1.24,-5.63,879.06,31316.24,-80716.36,-1.83,-3.83,-1.07,-717.03,-96523.26,-15412.93,-3.12,-5.12,-3.01,-1222.58,-129030.46,-43230.35,-0.92,-0.59,-6.71,-360.44,-14773.64,-96238.74,-6.12,-8.12,-3.71,-2400.48,-204770.70,-53268.20,-5.08,-6.08,-5.28,-1991.52,-153265.63,-75812.40,-4.66,-7.66,-6.79,-1826.53,-193073.45,-97405.78,-2.65,-4.65,-3.04,-1039.02,-117227.05,-43582.11,-2.57,-3.57,-4.03,-1007.32,-89980.51,-57870.73,-2.64,-3.64,-4.04,-1036.80,-91875.83,-57975.79,-2.93,-4.93,-1.95,-1148.66,-124277.05,-28025.44,-6.33,-7.33,-4.26,-2480.38,-184699.74,-61058.39,-3.49,-4.49,-4.29,-1368.09,-113178.30,-61537.23,Colombia,2.46,61.28,36.26,-1.05,-0.61,-1.37,-0.73,-1.17,-0.43,-1.63,-1.22,-0.41,-0.93,-1.44,-0.94,-2.16,-1.92,-2.42,-1.34,-1.24,-1.25,-1.27,-2.06,-1.46
Congo,CF,COG,,1328.14,7685.86,1.35,-0.65,-4.30,0.00,-8.66,-330.33,-1.59,-2.59,-10.76,0.00,-34.34,-826.89,-20.10,-21.10,-22.56,0.00,-280.26,-1734.18,0.91,-1.09,-5.49,0.00,-14.52,-421.65,0.71,-1.29,-9.48,0.00,-17.12,-728.72,-9.00,-10.00,-17.64,0.00,-132.86,-1355.76,1.56,-0.44,-4.37,0.00,-5.80,-335.81,1.66,-0.34,-8.23,0.00,-4.49,-632.39,-6.05,-7.05,-14.73,0.00,-93.62,-1132.17,1.87,-0.13,-3.87,0.00,-1.73,-297.57,2.76,0.76,-8.00,0.00,10.15,-614.50,-7.10,-8.10,-16.86,0.00,-107.58,-1295.87,0.35,-1.65,-5.06,0.00,-21.98,-388.91,0.71,-0.29,-7.61,0.00,-3.87,-584.99,-0.65,-3.65,-10.12,0.00,-48.50,-778.15,-0.86,-2.86,-7.59,0.00,-38.02,-583.57,-2.62,-3.62,-10.80,0.00,-48.08,-829.88,-4.79,-5.79,-13.62,0.00,-76.95,-1046.52,0.25,-1.75,-5.74,0.00,-23.24,-441.20,0.14,-0.86,-8.12,0.00,-11.36,-623.75,-10.27,-11.27,-19.91,0.00,-149.69,-1530.41,Congo,0.58,27.94,71.47,-1.08,-2.81,-7.38,-1.41,-2.38,-5.15,-1.08,-1.99,-4.18,-0.93,-1.83,-4.79,-1.36,-1.84,-2.75,-2.08,-2.91,-3.79,-1.53,-2.01,-5.81
Costa Rica,CS,CRI,,198284.14,15057.29,-3.43,-5.43,0.23,0.00,-10765.86,34.57,-0.81,-1.81,1.43,0.00,-3592.97,214.93,11.06,10.06,6.83,0.00,19954.73,1028.99,-3.14,-5.14,-0.18,0.00,-10196.24,-27.43,-3.98,-5.98,-0.14,0.00,-11865.18,-20.41,7.51,6.51,5.49,0.00,12903.59,827.27,-4.92,-6.92,-1.33,0.00,-13728.98,-200.98,-2.26,-4.26,0.51,0.00,-8444.47,76.54,7.52,6.52,4.01,0.00,12926.05,604.27,-3.26,-5.26,0.27,0.00,-10422.51,41.36,-2.74,-4.74,0.20,0.00,-9389.53,29.87,10.13,10.47,6.36,0.00,20752.46,957.61,-6.88,-8.88,-2.37,0.00,-17603.09,-356.55,-5.85,-6.85,-1.84,0.00,-13573.71,-277.63,-4.43,-7.43,-1.11,0.00,-14736.68,-166.81,-5.02,-7.02,-2.23,0.00,-13916.93,-335.05,-6.19,-7.19,-1.50,0.00,-14254.23,-225.69,-1.50,-2.50,1.68,0.00,-4953.46,252.49,-3.21,-5.21,-1.13,0.00,-10324.95,-169.81,-4.62,-5.62,-0.92,0.00,-11144.13,-138.30,-2.32,-3.32,1.18,0.00,-6578.32,177.25,Costa Rica,0.00,88.16,11.84,-1.59,-0.48,3.23,-1.52,-1.76,2.13,-2.09,-1.23,2.07,-1.53,-1.38,3.33,-2.70,-2.08,-2.23,-2.15,-2.17,-0.67,-1.57,-1.69,-0.93
Croatia,HR,HRV,834431.43,,2021408.00,-4.91,-6.91,-7.91,-40930.25,0.00,-159795.66,-7.18,-8.18,-14.18,-59913.44,0.00,-286638.70,-3.83,-4.83,-13.83,-31994.85,0.00,-279648.24,-5.73,-7.73,-8.73,-47772.16,0.00,-176370.17,-6.30,-8.30,-13.30,-52584.57,0.00,-268884.54,-1.83,-2.83,-12.83,-15284.85,0.00,-259382.39,-4.40,-6.40,-7.40,-36738.11,0.00,-149640.23,-6.77,-8.77,-13.77,-56485.04,0.00,-278333.42,-3.00,-4.00,-14.00,-25005.91,0.00,-282931.63,-2.98,-4.98,-5.98,-24851.58,0.00,-120845.14,-6.83,-8.83,-13.83,-56959.18,0.00,-279482.03,-3.42,-4.42,-14.42,-28500.99,0.00,-291398.47,-7.88,-9.88,-10.88,-65791.05,0.00,-220020.89,-6.10,-7.10,-11.10,-50929.26,0.00,-224446.40,-8.41,-11.41,-14.41,-70153.15,0.00,-291230.32,-8.86,-10.86,-11.86,-73914.91,0.00,-239700.91,-7.17,-8.17,-12.17,-59834.83,0.00,-246020.13,-5.83,-6.83,-12.83,-48610.54,0.00,-259257.47,-5.99,-7.99,-8.99,-49956.04,0.00,-181660.63,-10.00,-11.00,-15.00,-83413.37,0.00,-303139.07,-7.38,-8.38,-14.38,-61544.98,0.00,-290591.11,Croatia,28.22,0.00,71.78,-2.35,-4.07,-3.67,-2.63,-3.78,-3.24,-2.19,-3.93,-3.63,-1.71,-3.95,-3.77,-3.35,-3.23,-4.24,-3.67,-3.59,-3.62,-2.71,-4.53,-4.13
Cuba,CU,CUB,,550328.57,329671.43,-3.43,-5.43,0.23,0.00,-29880.17,756.87,-0.81,-1.81,1.43,0.00,-9972.13,4705.73,11.06,10.06,6.83,0.00,55383.43,22529.24,-3.14,-5.14,-0.18,0.00,-28299.20,-600.63,-3.98,-5.98,-0.14,0.00,-32931.27,-446.88,7.51,6.51,5.49,0.00,35813.33,18112.75,-4.92,-6.92,-1.33,0.00,-38104.15,-4400.30,-2.26,-4.26,0.51,0.00,-23437.25,1675.90,7.52,6.52,4.01,0.00,35875.65,13230.09,-3.26,-5.26,0.27,0.00,-28927.21,905.59,-2.74,-4.74,0.20,0.00,-26060.21,653.93,10.13,10.47,6.36,0.00,57597.52,20966.35,-6.88,-8.88,-2.37,0.00,-48856.56,-7806.48,-5.85,-6.85,-1.84,0.00,-37673.21,-6078.48,-4.43,-7.43,-1.11,0.00,-40900.97,-3652.14,-5.02,-7.02,-2.23,0.00,-38625.82,-7335.66,-6.19,-7.19,-1.50,0.00,-39561.97,-4941.34,-1.50,-2.50,1.68,0.00,-13748.10,5528.07,-3.21,-5.21,-1.13,0.00,-28656.42,-3717.88,-4.62,-5.62,-0.92,0.00,-30930.03,-3027.93,-2.32,-3.32,1.18,0.00,-18257.82,3880.84,Cuba,0.00,81.84,18.16,-1.47,-0.41,3.16,-1.41,-1.64,2.11,-1.97,-1.13,2.02,-1.42,-1.28,3.24,-2.57,-1.98,-2.09,-2.05,-2.05,-0.58,-1.49,-1.59,-0.83
Cyprus,CY,CYP,10588.71,,,-1.22,-3.22,-5.54,-128.79,0.00,0.00,-4.76,-5.76,-12.84,-503.62,0.00,0.00,-13.58,-14.58,-19.81,-1437.60,0.00,0.00,-0.74,-2.74,-5.44,-78.71,0.00,0.00,-1.24,-3.24,-9.84,-131.53,0.00,0.00,-5.64,-6.64,-15.46,-596.90,0.00,0.00,-0.56,-2.56,-5.03,-59.30,0.00,0.00,-0.87,-2.87,-9.31,-91.83,0.00,0.00,-4.34,-5.34,-14.18,-459.33,0.00,0.00,-0.99,-2.99,-5.36,-104.70,0.00,0.00,-0.15,-2.15,-9.02,-15.36,0.00,0.00,-5.01,-6.01,-15.39,-530.63,0.00,0.00,-0.87,-2.87,-5.08,-92.56,0.00,0.00,-1.68,-2.68,-8.34,-177.56,0.00,0.00,-3.28,-6.28,-11.02,-347.80,0.00,0.00,-2.24,-4.24,-7.11,-237.35,0.00,0.00,-4.26,-5.26,-10.85,-451.55,0.00,0.00,-4.74,-5.74,-12.65,-501.89,0.00,0.00,-1.54,-3.54,-6.03,-162.84,0.00,0.00,-2.03,-3.03,-8.66,-214.65,0.00,0.00,-9.47,-10.47,-17.79,-1002.42,0.00,0.00,Cyprus,1.00,1.00,1.00,-0.03,-0.08,-0.16,-0.03,-0.05,-0.09,-0.03,-0.04,-0.08,-0.03,-0.04,-0.09,-0.03,-0.04,-0.07,-0.05,-0.07,-0.08,-0.04,-0.05,-0.13
Czech Republic,EZ,CZE,3965480.14,,523734.57,-4.91,-6.91,-7.91,-194513.38,0.00,-41402.09,-7.18,-8.18,-14.18,-284727.46,0.00,-74266.35,-3.83,-4.83,-13.83,-152049.58,0.00,-72455.17,-5.73,-7.73,-8.73,-227028.29,0.00,-45696.44,-6.30,-8.30,-13.30,-249898.37,0.00,-69666.36,-1.83,-2.83,-12.83,-72638.41,0.00,-67204.41,-4.40,-6.40,-7.40,-174591.05,0.00,-38770.88,-6.77,-8.77,-13.77,-268434.64,0.00,-72114.50,-3.00,-4.00,-14.00,-118835.93,0.00,-73305.87,-2.98,-4.98,-5.98,-118102.53,0.00,-31310.24,-6.83,-8.83,-13.83,-270687.92,0.00,-72412.10,-3.42,-4.42,-14.42,-135445.68,0.00,-75499.58,-7.88,-9.88,-10.88,-312659.72,0.00,-57006.08,-6.10,-7.10,-11.10,-242031.83,0.00,-58152.70,-8.41,-11.41,-14.41,-333389.82,0.00,-75456.01,-8.86,-10.86,-11.86,-351266.84,0.00,-62105.05,-7.17,-8.17,-12.17,-284353.91,0.00,-63742.32,-5.83,-6.83,-12.83,-231012.55,0.00,-67172.04,-5.99,-7.99,-8.99,-237406.80,0.00,-47067.17,-10.00,-11.00,-15.00,-396406.51,0.00,-78541.50,-7.38,-8.38,-14.38,-292481.06,0.00,-75290.40,Czech Republic,95.67,0.00,4.33,-1.68,-2.49,-1.42,-1.95,-2.20,-0.77,-1.51,-2.36,-1.16,-1.04,-2.38,-1.30,-2.67,-2.11,-2.89,-3.00,-2.46,-2.04,-2.04,-3.40,-2.56
Denmark,DA,DNK,4651754.57,,,4.19,2.19,-1.68,195105.28,0.00,0.00,9.28,8.28,-1.37,431763.21,0.00,0.00,7.48,6.48,1.19,348149.88,0.00,0.00,5.67,3.67,-1.16,263534.47,0.00,0.00,9.20,7.20,-1.32,428119.44,0.00,0.00,13.14,12.14,0.45,611160.44,0.00,0.00,3.49,1.49,-0.72,162272.64,0.00,0.00,8.92,6.92,-1.66,414773.31,0.00,0.00,13.15,12.15,0.77,611837.11,0.00,0.00,3.34,1.34,-1.48,155558.49,0.00,0.00,9.07,7.07,-1.81,422054.09,0.00,0.00,13.51,12.51,0.44,628516.71,0.00,0.00,1.61,-0.39,-1.71,74755.72,0.00,0.00,5.28,4.28,-2.83,245662.57,0.00,0.00,6.86,3.86,-3.21,319276.27,0.00,0.00,3.66,2.31,-2.60,170088.97,0.00,0.00,5.13,4.13,-3.19,238622.22,0.00,0.00,7.24,6.24,-1.42,336962.40,0.00,0.00,3.16,1.16,-2.55,146922.24,0.00,0.00,5.50,4.50,-3.13,255804.35,0.00,0.00,8.85,7.85,-1.35,411853.76,0.00,0.00,Denmark,100.00,0.00,0.00,1.40,3.09,2.49,1.89,3.07,4.38,1.16,2.97,4.38,1.11,3.02,4.50,0.54,1.76,2.29,1.22,1.71,2.41,1.05,1.83,2.95
Djibouti,DJ,DJI,,,10.29,-6.32,-8.32,0.90,0.00,0.00,0.09,-10.94,-11.94,-2.28,0.00,0.00,-0.24,-5.65,-6.65,-5.62,0.00,0.00,-0.58,-5.92,-7.92,0.69,0.00,0.00,0.07,-11.56,-13.56,-0.77,0.00,0.00,-0.08,-5.50,-6.50,-2.18,0.00,0.00,-0.22,-9.29,-11.29,-1.17,0.00,0.00,-0.12,-10.32,-12.32,-0.96,0.00,0.00,-0.10,-5.49,-6.49,-3.83,0.00,0.00,-0.39,-6.74,-8.74,0.64,0.00,0.00,0.07,-10.47,-12.47,-0.89,0.00,0.00,-0.09,-6.25,-4.80,-5.28,0.00,0.00,-0.54,-12.47,-14.47,-2.79,0.00,0.00,-0.29,-12.95,-13.95,-2.61,0.00,0.00,-0.27,-13.30,-16.30,-3.53,0.00,0.00,-0.36,-8.96,-10.96,-1.90,0.00,0.00,-0.20,-12.45,-13.45,-1.53,0.00,0.00,-0.16,-11.15,-12.15,-1.25,0.00,0.00,-0.13,-5.94,-7.94,-0.50,0.00,0.00,-0.05,-11.25,-12.25,-1.98,0.00,0.00,-0.20,-11.71,-12.71,-1.72,0.00,0.00,-0.18,Djibouti,0.00,0.00,100.00,0.30,-0.76,-1.87,0.23,-0.26,-0.73,-0.39,-0.32,-1.28,0.21,-0.30,-1.76,-0.93,-0.87,-1.18,-0.63,-0.51,-0.42,-0.17,-0.66,-0.57
Dominican Republic,DR,DOM,,644386.29,34654.43,-3.43,-5.43,0.23,0.00,-34987.04,79.56,-0.81,-1.81,1.43,0.00,-11676.49,494.66,11.06,10.06,6.83,0.00,64849.12,2368.23,-3.14,-5.14,-0.18,0.00,-33135.87,-63.14,-3.98,-5.98,-0.14,0.00,-38559.62,-46.97,7.51,6.51,5.49,0.00,41934.26,1903.98,-4.92,-6.92,-1.33,0.00,-44616.60,-462.55,-2.26,-4.26,0.51,0.00,-27442.96,176.17,7.52,6.52,4.01,0.00,42007.23,1390.72,-3.26,-5.26,0.27,0.00,-33871.22,95.19,-2.74,-4.74,0.20,0.00,-30514.21,68.74,10.13,10.47,6.36,0.00,67441.62,2203.94,-6.88,-8.88,-2.37,0.00,-57206.73,-820.60,-5.85,-6.85,-1.84,0.00,-44112.01,-638.96,-4.43,-7.43,-1.11,0.00,-47891.43,-383.91,-5.02,-7.02,-2.23,0.00,-45227.43,-771.11,-6.19,-7.19,-1.50,0.00,-46323.58,-519.42,-1.50,-2.50,1.68,0.00,-16097.81,581.10,-3.21,-5.21,-1.13,0.00,-33554.15,-390.82,-4.62,-5.62,-0.92,0.00,-36216.34,-318.29,-2.32,-3.32,1.18,0.00,-21378.29,407.95,Dominican Republic,0.00,91.71,8.29,-1.65,-0.51,3.27,-1.58,-1.83,2.14,-2.15,-1.29,2.10,-1.60,-1.44,3.38,-2.78,-2.14,-2.30,-2.21,-2.24,-0.72,-1.62,-1.74,-0.98
Ecuador,EC,ECU,11070.86,1417505.86,692249.14,-6.32,-8.32,0.90,-699.35,-117893.94,6196.53,-10.94,-11.94,-2.28,-1210.86,-169212.55,-15816.29,-5.65,-6.65,-5.62,-625.00,-94199.39,-38894.52,-5.92,-7.92,0.69,-655.91,-112332.40,4767.82,-11.56,-13.56,-0.77,-1280.17,-192262.81,-5300.00,-5.50,-6.50,-2.18,-608.62,-92101.84,-15105.23,-9.29,-11.29,-1.17,-1028.78,-160073.87,-8125.57,-10.32,-12.32,-0.96,-1142.38,-174620.30,-6664.07,-5.49,-6.49,-3.83,-608.20,-92048.34,-26546.37,-6.74,-8.74,0.64,-745.98,-123864.37,4406.44,-10.47,-12.47,-0.89,-1159.16,-176768.40,-6175.22,-6.25,-4.80,-5.28,-691.58,-68074.13,-36532.69,-12.47,-14.47,-2.79,-1381.03,-205176.95,-19347.23,-12.95,-13.95,-2.61,-1433.31,-197695.25,-18074.50,-13.30,-16.30,-3.53,-1471.97,-230995.55,-24437.78,-8.96,-10.96,-1.90,-991.70,-155326.45,-13150.50,-12.45,-13.45,-1.53,-1378.86,-190723.63,-10625.87,-11.15,-12.15,-1.25,-1234.27,-172210.69,-8645.13,-5.94,-7.94,-0.50,-657.79,-112572.80,-3477.98,-11.25,-12.25,-1.98,-1245.62,-173662.95,-13721.88,-11.71,-12.71,-1.72,-1296.63,-180194.85,-11899.99,Ecuador,1.46,67.00,31.54,-1.79,-2.96,-2.10,-1.73,-3.17,-1.71,-2.69,-2.90,-1.88,-1.92,-2.93,-1.66,-3.59,-3.45,-4.08,-2.69,-3.23,-2.90,-1.86,-3.00,-3.08
