State,Urban Utility-scale PV (GWh),Urban Utility-scale PV (GW),Urban Utility-scale PV (km2),Rural Utility-scale PV (GWh),Rural Utility-scale PV (GW),Rural Utility-scale PV (km2),Rooftop PV (GWh),Rooftop PV (GW),CSP (GWh),CSP (GW),CSP (km2),Onshore Wind (GWh),Onshore Wind (GW),Onshore Wind (km2),Offshore Wind (GWh),Offshore Wind (GW),Offshore Wind (km2),Biopower-Solid (GWh),Biopower-Solid (GW),Biopower-Solid (BDT),Biopower-Gaseous (GWh),Biopower-Gaseous (GW),Biopower-Gaseous (Tonnes-CH4),Geothermal Hydrothermal (GWh),Geothermal Hydrothermal (GW),EGS Geothermal (GWh),EGS Geothermal (GW),Hydropower (GWh),Hydropower (GW),Hydropower (Count of Sites)
Georgia,"43,167",24,506,"5,492,183","3,088","64,343","31,116",25,0,0,0,323,0,26,"220,807",59,"11,726","14,682",2,"13,347,586","2,221",0,"472,547",0,0,"353,206",45,"1,988",0,"2,100"
Hawaii,"3,725",2,35,"38,033",21,431,NA,3,"15,370",6,168,"7,787",2,494,"2,836,735",737,"147,389",524,0,"476,459",200,0,"42,603","20,632",3,NA,NA,"2,602",1,437
Idaho,"23,195",12,251,"3,936,848","2,045","42,613","4,051",3,"3,502,877","1,267","38,523","44,320",18,"3,615",NA,NA,NA,"5,776",1,"5,250,560",183,0,"38,831","17,205",2,"993,257",126,"18,758",4,"6,706"
Illinois,"103,552",64,"1,325","8,090,985","4,969","103,524","30,086",26,0,0,0,"649,468",250,"49,976","66,070",16,"3,174","27,738",4,"25,216,443","4,222",1,"898,345",0,0,"676,056",86,"4,883",1,"1,330"
Indiana,"98,815",61,"1,274","4,876,186","3,019","62,891","17,151",15,0,0,0,"377,604",148,"29,646",166,0,9,"14,942",2,"13,583,318","2,978",0,"633,660",0,0,"434,258",55,"2,394",1,"1,142"
Iowa,"27,092",16,324,"6,994,159","4,021","83,763","8,646",7,0,0,0,"1,723,588",571,"114,143",NA,NA,NA,"27,502",3,"25,002,253","1,425",0,"303,277",0,0,"606,390",77,"2,818",1,"2,398"
Kansas,"31,706",15,317,"14,500,149","6,960","144,996","8,962",7,"7,974,256","2,885","87,698","3,101,576",952,"190,474",NA,NA,NA,"12,104",2,"11,004,052",753,0,"160,219",0,0,"989,676",126,"2,508",1,"3,201"
Kentucky,"26,515",16,339,"1,823,977","1,119","23,319","12,312",11,0,0,0,147,0,12,NA,NA,NA,"7,048",1,"6,407,337","1,274",0,"271,053",0,0,"484,659",61,"4,255",1,"1,394"
Louisiana,"55,669",32,675,"4,114,605","2,394","49,876","14,368",12,0,0,0,935,0,82,"1,200,699",341,"68,123","14,016",2,"12,741,856",857,0,"182,404",0,0,"484,271",61,"2,423",1,934
Maine,"3,216",2,40,"1,100,327",659,"13,723","2,443",2,0,0,0,"28,743",11,"2,250","631,960",147,"29,484","4,273",1,"3,884,583",125,0,"26,542",0,0,"377,075",48,"3,916",1,"1,373"
Maryland,"28,551",18,379,"585,949",373,"7,773","14,850",13,0,0,0,"3,632",1,297,"200,852",52,"10,382","2,102",0,"1,911,045","1,227",0,"260,966",0,0,"86,649",11,814,0,491
Massachusetts,"17,470",11,228,"82,205",52,"1,074","11,723",10,0,0,0,"2,827",1,206,"799,344",184,"36,815","1,045",0,"950,308","1,104",0,"234,812",0,0,"92,227",12,"1,197",0,560
Michigan,"50,845",34,699,"5,215,640","3,444","71,741","23,528",22,0,0,0,"143,908",59,"11,808","1,739,801",423,"84,515","9,358",1,"8,507,307","2,539",0,"540,283",0,0,"457,850",58,"1,181",0,"1,942"
Minnesota,"33,370",20,419,"10,792,814","6,510","135,627","14,322",12,0,0,0,"1,428,525",489,"97,854","100,455",29,"5,843","20,362",3,"18,510,689","1,030",0,"219,075",0,0,"369,785",47,"1,255",0,"1,391"
Mississippi,"26,366",15,318,"4,981,252","2,880","59,997","8,614",7,0,0,0,0,0,0,"10,172",3,643,"14,210",2,"12,918,114","1,077",0,"229,077",0,0,"559,056",71,"2,211",1,"1,536"
Missouri,"30,549",18,377,"5,335,269","3,157","65,767","16,160",13,0,0,0,"689,519",274,"54,871",NA,NA,NA,"11,838",2,"10,761,509","2,148",0,"456,990",0,0,"835,445",106,"7,198",2,"5,089"
