"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLTCBUS","198606","1.46356","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198607","1.64801","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198608","1.515011","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198609","1.401321","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198610","1.355954","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198611","1.366752","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198612","1.497876","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198613","17.260405","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198701","1.563157","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198702","1.357526","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198703","1.372447","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198704","1.322692","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198705","1.419056","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198706","1.553622","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198707","1.731657","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198708","1.719952","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198709","1.484318","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198710","1.448063","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198711","1.433762","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198712","1.602198","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198713","18.008451","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198801","1.684214","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198802","1.539149","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198803","1.48558","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198804","1.368241","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198805","1.418454","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198806","1.601226","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198807","1.748765","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198808","1.819299","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198809","1.522329","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198810","1.498257","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198811","1.493134","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198812","1.667662","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198813","18.846312","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198901","1.661361","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198902","1.570485","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198903","1.558177","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198904","1.421056","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198905","1.465828","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198906","1.571761","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198907","1.705408","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198908","1.717331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198909","1.550947","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198910","1.524699","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198911","1.534514","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198912","1.788196","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198913","19.069762","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199001","1.651617","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199002","1.465526","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199003","1.528733","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199004","1.449803","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199005","1.477073","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199006","1.604918","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199007","1.740572","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199008","1.776442","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199009","1.639972","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199010","1.604968","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199011","1.535479","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199012","1.697532","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199013","19.172635","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199101","1.748968","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199102","1.460729","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199103","1.480065","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199104","1.37316","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199105","1.497435","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199106","1.596278","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199107","1.738203","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199108","1.737679","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199109","1.576469","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199110","1.540673","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199111","1.588175","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199112","1.653837","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199113","18.99167","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199201","1.674804","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199202","1.496093","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199203","1.55524","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199204","1.452659","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199205","1.487696","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199206","1.560214","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199207","1.780586","1","Coal Consumption","Quadrillion Btu"
