lng,lat,avg_kwh_m2_day
-91,32,4.605
-91,33,4.568
-91,30,4.655
-83,44,3.756
-83,45,3.694
-83,46,3.697
-89,41,3.93
-83,40,3.885
-83,41,3.844
-83,42,3.821
-83,43,3.774
-91,36,4.365
-149,64,0.0
-91,37,4.28
-94,35,4.426
-94,34,4.379
-94,37,4.344
-94,36,4.394
-94,31,4.573
-91,34,4.501
-94,33,4.526
-94,32,4.576
-91,35,4.406
-94,39,4.232
-94,38,4.268
-99,32,5.08
-99,33,5.091
-99,30,4.95
-99,31,5.073
-99,36,4.908
-99,37,4.825
-99,34,4.993
-99,35,4.95
-99,38,4.715
-99,39,4.618
-145,60,0.0
-145,61,0.0
-145,63,0.0
-145,65,0.0
-160,63,0.0
-80,32,4.711
-80,33,4.62
-80,34,4.561
-80,35,4.497
-80,36,4.332
-80,37,4.1
-80,38,3.9
-80,39,3.878
-119,35,5.376
-164,64,0.0
-141,63,0.0
-109,42,4.511
-109,43,4.244
-109,40,4.776
-90,29,4.712
-109,46,3.981
-109,47,3.901
-109,44,4.155
-109,45,3.91
-109,48,3.863
-123,46,3.296
-156,20,5.404
-123,44,3.761
-123,45,3.549
-123,42,4.373
-123,43,3.935
-123,40,4.626
-123,41,4.581
-164,62,0.0
-93,36,4.352
-123,48,3.449
-92,38,4.252
-89,33,4.533
-116,32,5.546
-89,29,4.795
-87,40,3.992
-87,41,3.88
-87,42,3.857
-87,43,3.833
-87,44,3.774
-87,45,3.737
-87,46,3.626
-87,47,3.595
-89,32,4.576
-109,37,5.342
-109,36,5.428
-109,35,5.501
-109,34,5.435
-109,33,5.479
-109,32,5.738
-109,31,5.788
-92,37,4.289
-109,39,5.014
-92,36,4.356
-81,37,4.027
-81,36,4.189
-81,35,4.494
-81,34,4.568
-81,33,4.604
-81,32,4.689
-81,31,4.758
-81,30,4.767
-100,46,3.871
-81,39,3.921
-81,38,3.954
-151,64,0.0
-151,60,0.0
-151,62,0.0
-114,39,4.991
-117,34,5.529
-117,35,5.899
-117,36,5.691
-117,37,5.591
-89,30,4.694
-117,32,5.228
-117,33,5.282
-117,38,5.38
-117,39,5.071
-104,48,3.822
-157,21,5.344
-104,41,4.534
-104,40,4.74
-104,43,4.452
-104,42,4.493
-104,45,4.182
-104,44,4.281
-104,47,3.959
-104,46,4.056
-80,27,4.988
-85,29,4.936
-100,40,4.569
-80,26,4.966
-80,25,5.02
-76,36,4.349
-82,43,3.727
-82,42,3.812
-82,41,3.818
-82,40,3.859
-119,36,5.271
-119,37,5.213
-99,27,5.094
-82,44,3.711
-119,38,5.163
-119,39,5.193
-160,21,5.623
-95,39,4.275
-151,59,0.0
-98,29,4.747
-100,42,4.347
-101,46,3.945
-147,66,0.0
-147,64,0.0
-100,48,3.686
