Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
189810,-0.3234
189811,-0.2417
189812,-0.0073
189901,-0.1005
189902,-0.2787
189903,-0.2549
189904,-0.1946
189905,-0.1203
189906,-0.1977
189907,-0.1259
189908,-0.0664
189909,-0.0307
189910,-0.0241
189911,0.1523
189912,-0.1656
190001,-0.2404
190002,-0.0934
190003,-0.0402
190004,-0.0985
190005,-0.0371
190006,-0.0450
190007,-0.0728
190008,-0.0708
190009,-0.0600
190010,0.0464
190011,-0.1345
190012,0.0320
190101,-0.1259
190102,-0.0741
190103,-0.0327
190104,-0.0646
190105,-0.1248
190106,-0.1273
190107,-0.1563
190108,-0.1299
190109,-0.2059
190110,-0.2786
190111,-0.1425
190112,-0.2372
190201,-0.0856
190202,-0.0409
190203,-0.1954
190204,-0.2697
190205,-0.2616
190206,-0.3324
190207,-0.2902
190208,-0.2643
190209,-0.2315
190210,-0.2821
190211,-0.3430
190212,-0.3592
190301,-0.2101
190302,-0.0800
190303,-0.2755
190304,-0.3540
190305,-0.3912
190306,-0.3759
190307,-0.3340
190308,-0.4296
190309,-0.3756
190310,-0.4357
190311,-0.3950
190312,-0.3861
190401,-0.5416
190402,-0.4670
190403,-0.5129
190404,-0.4717
190405,-0.4282
190406,-0.4403
190407,-0.4597
190408,-0.4314
190409,-0.4632
190410,-0.4066
190411,-0.1686
190412,-0.2414
190501,-0.3540
190502,-0.6187
190503,-0.3940
190504,-0.4481
190505,-0.2879
190506,-0.2503
190507,-0.1918
